#Station    Latitude    Longitude       Distance(km)     Azimuth    Bazimuth
KG.YNB 43.001 129.492 192.784 10.168 190.448
KG.DNH 43.343 128.201 238.772 342.730 162.142
KG.NSN 42.018 125.318 323.068 285.677 103.180
KG.YKB 38.225 127.990 353.055 195.607 14.914
KG.CHNB 38.269 127.118 375.277 207.148 25.896
KG.JSB 37.315 128.688 442.956 184.444 4.199
KS.SEHB 38.270 128.250 347.195 191.326 10.826
IC.MDJ 44.620 129.590 368.172 6.909 187.290
KS.SEO2 37.490 126.920 464.293 203.663 22.322
KS.CHJ2 36.870 127.970 504.762 190.784 10.115
KG.TJN 36.380 127.360 569.536 195.243 14.194
IU.INCN 37.480 126.620 475.946 206.566 25.034
KG.BRD 37.977 124.714 525.129 226.104 43.348
KG.YNG 40.681 122.604 543.937 264.445 80.226
